accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-FOL-1324-0104-00,1324,lower-2,3,7,broken inward,misfiled,"room name absent"
SW-ARC-PAL-1958-0104-01,1958,black-6,26,44,reversed,drying,"room name absent"
SW-ARC-BOX-1541-0104-02,1541,returned,156,14,intact,drying,"room name absent"
SW-ARC-SIG-1822-0104-03,1822,returned,234,14,broken inward,drying,"do not compare at night"
SW-ARC-PAL-1179-0104-04,1179,lower-2,128,44,broken inward,misfiled,"room name absent"
SW-ARC-FOL-1822-0104-05,1822,black-7,23,3,broken inward,waiting,"copy arrived first"
SW-ARC-ACC-1996-0104-06,1996,unassigned,230,21,reversed,drying,"shelf denied receipt"
SW-ARC-FOL-1179-0104-07,1179,lower-2,168,0,too soft,drying,"shelf denied receipt"
SW-ARC-BOX-1179-0104-08,1179,black-6,74,7,absent,drying,"signature repeats"
SW-ARC-RET-1907-0104-09,1907,lower-2,109,14,intact,drying,"do not compare at night"
SW-ARC-TID-1958-0104-10,1958,black-7,40,14,intact,misfiled,"copy arrived first"
