accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-WET-1714-0211-00,1714,east-3,210,14,reversed,open,"do not compare at night"
SW-ARC-RET-1931-0211-01,1931,east-3,213,0,intact,drying,"signature repeats"
SW-ARC-PAL-1974-0211-02,1974,unassigned,179,7,broken inward,waiting,"shelf denied receipt"
SW-ARC-ACC-1822-0211-03,1822,unassigned,17,3,too soft,drying,"room name absent"
SW-ARC-SIG-1996-0211-04,1996,black-7,160,3,too soft,waiting,"room name absent"
SW-ARC-MGR-1822-0211-05,1822,black-6,162,73,reversed,sealed,"shelf denied receipt"
SW-ARC-VLM-1822-0211-06,1822,east-3,6,73,too soft,misfiled,"signature repeats"
SW-ARC-WET-1869-0211-07,1869,returned,181,73,broken inward,sealed,"shelf denied receipt"
SW-ARC-SIG-1931-0211-08,1931,lower-2,17,44,broken inward,drying,"do not compare at night"
SW-ARC-WET-1793-0211-09,1793,unassigned,153,3,too soft,drying,"do not compare at night"
SW-ARC-PAL-1958-0211-10,1958,unassigned,156,7,absent,waiting,"room name absent"
SW-ARC-DIP-1869-0211-11,1869,black-7,214,73,absent,sealed,"shelf denied receipt"
SW-ARC-BOX-1541-0211-12,1541,lower-2,20,14,intact,drying,"copy arrived first"
SW-ARC-QRY-1714-0211-13,1714,unassigned,177,0,absent,sealed,"shelf denied receipt"
SW-ARC-MGR-1958-0211-14,1958,unassigned,74,73,intact,sealed,"do not compare at night"
