accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-MGR-1793-0029-00,1793,east-3,107,73,absent,sealed,"do not compare at night"
SW-ARC-FOL-1793-0029-01,1793,returned,26,44,absent,misfiled,"signature repeats"
SW-ARC-VLM-1179-0029-02,1179,east-3,230,21,reversed,waiting,"copy arrived first"
SW-ARC-ACC-1488-0029-03,1488,black-6,38,73,too soft,waiting,"shelf denied receipt"
SW-ARC-PAL-1958-0029-04,1958,unassigned,41,73,intact,drying,"copy arrived first"
SW-ARC-SIG-1974-0029-05,1974,black-6,52,44,reversed,sealed,"shelf denied receipt"
SW-ARC-RET-1666-0029-06,1666,returned,182,73,broken inward,waiting,"do not compare at night"
SW-ARC-RET-1931-0029-07,1931,east-3,23,21,reversed,open,"do not compare at night"
SW-ARC-MGR-1488-0029-08,1488,lower-2,210,0,broken inward,drying,"signature repeats"
SW-ARC-VLM-1324-0029-09,1324,east-3,177,21,absent,drying,"copy arrived first"
SW-ARC-WET-1488-0029-10,1488,east-3,74,3,too soft,drying,"copy arrived first"
SW-ARC-TID-1714-0029-11,1714,unassigned,200,3,intact,drying,"room name absent"
SW-ARC-WET-1931-0029-12,1931,black-6,168,21,intact,sealed,"signature repeats"
SW-ARC-SIG-1822-0029-13,1822,black-6,116,0,too soft,waiting,"copy arrived first"
SW-ARC-DIP-1541-0029-14,1541,returned,23,44,reversed,sealed,"copy arrived first"
SW-ARC-FOL-1996-0029-15,1996,black-6,121,73,absent,sealed,"shelf denied receipt"
