accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-RET-1488-0088-00,1488,lower-2,123,44,reversed,waiting,"signature repeats"
SW-ARC-SIG-1822-0088-01,1822,unassigned,19,0,reversed,misfiled,"do not compare at night"
SW-ARC-VLM-1974-0088-02,1974,lower-2,234,73,broken inward,waiting,"room name absent"
SW-ARC-RET-1324-0088-03,1324,returned,148,14,reversed,drying,"shelf denied receipt"
SW-ARC-QRY-1179-0088-04,1179,black-7,117,44,broken inward,sealed,"shelf denied receipt"
SW-ARC-MGR-1541-0088-05,1541,black-7,196,7,broken inward,misfiled,"room name absent"
SW-ARC-RET-1488-0088-06,1488,returned,148,21,too soft,drying,"room name absent"
SW-ARC-DIP-1324-0088-07,1324,black-7,212,14,too soft,waiting,"do not compare at night"
SW-ARC-RET-1714-0088-08,1714,lower-2,213,7,broken inward,waiting,"room name absent"
SW-ARC-FOL-1869-0088-09,1869,east-3,161,7,reversed,open,"room name absent"
SW-ARC-TID-1869-0088-10,1869,unassigned,76,21,intact,waiting,"signature repeats"
SW-ARC-SIG-1996-0088-11,1996,unassigned,10,21,intact,sealed,"do not compare at night"
SW-ARC-DIP-1541-0088-12,1541,east-3,54,44,absent,waiting,"shelf denied receipt"
SW-ARC-RET-1869-0088-13,1869,black-7,34,14,too soft,sealed,"do not compare at night"
SW-ARC-DIP-1931-0088-14,1931,returned,42,0,absent,drying,"copy arrived first"
SW-ARC-ACC-1666-0088-15,1666,lower-2,68,73,absent,waiting,"do not compare at night"
SW-ARC-QRY-1324-0088-16,1324,lower-2,151,73,intact,waiting,"copy arrived first"
