accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-PAL-1541-0090-00,1541,unassigned,150,3,broken inward,drying,"shelf denied receipt"
SW-ARC-BOX-1974-0090-01,1974,returned,92,73,too soft,drying,"signature repeats"
SW-ARC-VLM-1822-0090-02,1822,returned,183,14,too soft,drying,"shelf denied receipt"
SW-ARC-SIG-1179-0090-03,1179,black-6,116,44,too soft,drying,"copy arrived first"
SW-ARC-PAL-1869-0090-04,1869,returned,191,14,intact,open,"do not compare at night"
SW-ARC-ACC-1869-0090-05,1869,east-3,10,7,intact,waiting,"copy arrived first"
SW-ARC-VLM-1869-0090-06,1869,east-3,53,0,intact,drying,"shelf denied receipt"
SW-ARC-RET-1907-0090-07,1907,black-6,79,14,absent,open,"copy arrived first"
SW-ARC-WET-1996-0090-08,1996,unassigned,242,73,too soft,sealed,"copy arrived first"
SW-ARC-TID-1793-0090-09,1793,black-6,29,21,absent,waiting,"shelf denied receipt"
SW-ARC-QRY-1822-0090-10,1822,unassigned,134,7,absent,drying,"copy arrived first"
SW-ARC-DIP-1931-0090-11,1931,east-3,159,44,reversed,drying,"room name absent"
SW-ARC-TID-1822-0090-12,1822,east-3,223,7,reversed,drying,"do not compare at night"
SW-ARC-DIP-1958-0090-13,1958,returned,162,44,broken inward,waiting,"do not compare at night"
