accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-TID-1822-0154-00,1822,black-6,185,73,broken inward,waiting,"signature repeats"
SW-ARC-PAL-1179-0154-01,1179,returned,80,44,absent,sealed,"signature repeats"
SW-ARC-SIG-1714-0154-02,1714,unassigned,240,21,intact,drying,"do not compare at night"
SW-ARC-SIG-1714-0154-03,1714,unassigned,46,44,intact,sealed,"shelf denied receipt"
SW-ARC-FOL-1931-0154-04,1931,black-7,13,0,absent,open,"do not compare at night"
SW-ARC-SIG-1996-0154-05,1996,lower-2,197,44,absent,sealed,"signature repeats"
SW-ARC-RET-1931-0154-06,1931,east-3,228,73,reversed,misfiled,"copy arrived first"
SW-ARC-RET-1179-0154-07,1179,east-3,155,14,broken inward,waiting,"copy arrived first"
SW-ARC-WET-1958-0154-08,1958,black-6,57,73,intact,waiting,"shelf denied receipt"
SW-ARC-TID-1541-0154-09,1541,east-3,168,3,reversed,drying,"shelf denied receipt"
SW-ARC-PAL-1974-0154-10,1974,unassigned,58,14,reversed,drying,"shelf denied receipt"
SW-ARC-DIP-1793-0154-11,1793,unassigned,78,14,too soft,drying,"room name absent"
SW-ARC-MGR-1996-0154-12,1996,black-7,194,3,too soft,drying,"do not compare at night"
SW-ARC-WET-1958-0154-13,1958,lower-2,47,0,too soft,waiting,"room name absent"
SW-ARC-WET-1793-0154-14,1793,unassigned,78,3,absent,open,"signature repeats"
SW-ARC-RET-1324-0154-15,1324,unassigned,45,44,intact,drying,"do not compare at night"
