accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-WET-1974-0253-00,1974,black-7,142,73,reversed,misfiled,"signature repeats"
SW-ARC-PAL-1666-0253-01,1666,east-3,5,14,absent,waiting,"signature repeats"
SW-ARC-ACC-1179-0253-02,1179,returned,74,21,broken inward,misfiled,"signature repeats"
SW-ARC-WET-1822-0253-03,1822,black-6,135,14,broken inward,waiting,"copy arrived first"
SW-ARC-PAL-1666-0253-04,1666,black-6,172,7,intact,open,"signature repeats"
SW-ARC-RET-1179-0253-05,1179,black-7,107,73,too soft,drying,"copy arrived first"
SW-ARC-FOL-1179-0253-06,1179,black-7,208,21,absent,misfiled,"do not compare at night"
SW-ARC-FOL-1869-0253-07,1869,lower-2,120,21,reversed,open,"shelf denied receipt"
SW-ARC-TID-1974-0253-08,1974,lower-2,171,0,reversed,drying,"shelf denied receipt"
SW-ARC-RET-1958-0253-09,1958,black-7,235,21,absent,sealed,"signature repeats"
SW-ARC-WET-1179-0253-10,1179,returned,20,44,absent,sealed,"copy arrived first"
SW-ARC-DIP-1907-0253-11,1907,lower-2,98,21,too soft,drying,"copy arrived first"
SW-ARC-VLM-1488-0253-12,1488,black-7,65,0,absent,waiting,"room name absent"
SW-ARC-RET-1324-0253-13,1324,unassigned,122,73,too soft,open,"room name absent"
SW-ARC-QRY-1714-0253-14,1714,east-3,10,3,broken inward,waiting,"shelf denied receipt"
SW-ARC-WET-1822-0253-15,1822,lower-2,92,3,absent,drying,"copy arrived first"
SW-ARC-WET-1666-0253-16,1666,returned,126,44,intact,sealed,"shelf denied receipt"
SW-ARC-RET-1822-0253-17,1822,returned,237,44,reversed,waiting,"shelf denied receipt"
