accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-ACC-1907-0028-00,1907,unassigned,173,3,broken inward,misfiled,"signature repeats"
SW-ARC-ACC-1822-0028-01,1822,black-7,36,7,too soft,waiting,"shelf denied receipt"
SW-ARC-ACC-1958-0028-02,1958,east-3,127,0,broken inward,misfiled,"copy arrived first"
SW-ARC-MGR-1541-0028-03,1541,unassigned,171,14,intact,drying,"shelf denied receipt"
SW-ARC-ACC-1958-0028-04,1958,unassigned,160,3,too soft,open,"copy arrived first"
SW-ARC-WET-1714-0028-05,1714,unassigned,168,7,reversed,drying,"copy arrived first"
SW-ARC-MGR-1974-0028-06,1974,returned,100,44,too soft,misfiled,"copy arrived first"
SW-ARC-BOX-1179-0028-07,1179,unassigned,214,14,too soft,misfiled,"signature repeats"
SW-ARC-DIP-1869-0028-08,1869,returned,3,44,broken inward,drying,"room name absent"
SW-ARC-TID-1996-0028-09,1996,black-6,15,3,reversed,drying,"signature repeats"
SW-ARC-VLM-1822-0028-10,1822,lower-2,66,73,absent,misfiled,"do not compare at night"
SW-ARC-SIG-1869-0028-11,1869,black-7,52,44,too soft,misfiled,"room name absent"
SW-ARC-PAL-1324-0028-12,1324,lower-2,7,7,broken inward,misfiled,"copy arrived first"
SW-ARC-VLM-1541-0028-13,1541,east-3,69,14,absent,waiting,"signature repeats"
SW-ARC-MGR-1488-0028-14,1488,black-6,101,14,too soft,misfiled,"copy arrived first"
